matches,fare_amount,duration,passenger_count,tpep_pickup_datetime,pickup_latitude,pickup_longitude,cars combined,new fare,driver cost saved,new duration,fare difference,duration difference,profit difference
"[87, 101]",14.0,14.700000000000001,2,2016-06-06 06:22:27,40.759864807128906,-73.98603057861328,2,14,3.6750000000000003,18.700000000000003,0.0,4.000000000000002,3.6750000000000003
"[100, 132]",11.5,10.35,2,2016-06-06 06:55:37,40.75407791137695,-73.97237396240234,2,14,2.5875,14.35,2.5,4.0,5.0875
"[103, 118]",12.5,13.133333333333333,2,2016-06-06 06:56:04,40.756629943847656,-73.99014282226562,2,14,3.283333333333333,17.133333333333333,1.5,4.0,4.783333333333333
"[104, 129]",11.0,10.566666666666666,3,2016-06-06 06:56:07,40.75060653686523,-73.97402954101562,2,21,2.6416666666666666,16.566666666666666,10.0,6.0,12.641666666666666
"[108, 113]",13.5,11.866666666666667,2,2016-06-06 06:56:38,40.74337387084961,-73.99605560302734,2,14,2.966666666666667,15.866666666666667,0.5,4.0,3.466666666666667
"[15, 19]",11.5,11.583333333333332,3,2016-06-06 06:40:52,40.75628662109375,-73.99095153808595,2,21,2.895833333333333,17.583333333333332,9.5,6.0,12.395833333333332
"[19, 22]",19.0,21.166666666666668,2,2016-06-06 06:41:48,40.75616836547852,-73.99057006835938,2,14,5.291666666666667,25.166666666666668,-5.0,4.0,0.29166666666666696
"[24, 41]",16.0,14.05,2,2016-06-06 06:42:37,40.77949523925781,-73.95791625976562,2,14,3.5125,18.05,-2.0,4.0,1.5125000000000002
"[27, 44]",15.5,13.6,3,2016-06-06 06:43:19,40.73231887817383,-74.00646209716798,2,21,3.4,19.6,5.5,6.000000000000002,8.9
"[29, 38]",20.0,16.383333333333333,2,2016-06-06 06:43:57,40.74494552612305,-73.99520111083984,2,14,4.095833333333333,20.383333333333333,-6.0,4.0,-1.9041666666666668
"[36, 57]",15.0,14.933333333333334,2,2016-06-06 06:45:39,40.76857376098633,-73.96147155761719,2,14,3.7333333333333334,18.933333333333334,-1.0,4.0,2.7333333333333334
"[37, 62]",12.0,12.75,2,2016-06-06 06:45:49,40.71665573120117,-74.01090240478516,2,14,3.1875,16.75,2.0,4.0,5.1875
"[41, 47]",16.5,16.0,3,2016-06-06 06:47:04,40.76995086669922,-73.95497131347656,2,21,4.0,22.0,4.5,6.0,8.5
